"text","post_content","source_type"
"Si vous pensez que c’est comme ça qu’on vas ce ruiner dans vos magasins … pour des frusques en plus qui sont made in China … moi je dit vive Vinted !!","👗🚫Jusqu’à 19,50 euros de pénalité d’ici 2030 : dès le 1er septembre, comment va fonctionner ce malus contre la fast-fashion en France
🔗https://l.sudouest.fr/DD2f","post"
"Lolo Glt oui c’est ca lolo la quasi totalité roule comme des tabanard alors bon ! Au bout d’un moment ils sont pas tous pareil oui et môn Q sur la commode aussi  !","🔴 « Un drame terrible » : à Trélissac, en Dordogne, deux jeunes motards perdent la vie dans un accident après avoir percuté un véhicule en stationnement à vive allure
🔗https://l.sudouest.fr/iFv8","post"
"Pierre La Staline était un gentil leader, c'est connu comme tout ceux qui ont gouverner les Républiques Populaires . Votre rejeton étant apparemment brillant, faites lui découvrir l'archipel du Goulag. Tout comme le nazisme, le communisme ne fait pas parti du camp du bien !et le hamaSS non plus !","Les faits remontent à mercredi 19 août, avec pour toile de fond la présence de la députée Rassemblement national","post"
"Pas besoin ni nécessaire d’être socialiste pour s’opposer à ce projet !!??
Par ailleurs, d’autres de tous bords politiques ont combattu ce projet depuis longtemps !!
Alors, la section locale du PS est très en retard ⏰ !","Pays Royannais : la section locale du Parti socialiste prend position contre le projet « d’usine d’élevage de saumons » au Verdon-sur-Mer","post"
"Il faut le laisser jusqu’au bout et protégé la zone si trop dangereux!ça fait partie du patrimoines !","La Ville de La Tremblade veut accompagner le démantèlement du phare de la Coubre","post"
"Hoooo non pas eux 😩 que de tristesse, courage à leurs familles, toute mes sincères condoléances 😖","Les deux jeunes étaient serveurs au Café de la Place et à La Fabrik, place du Marché au bois, à Périgueux
🔗https://l.sudouest.fr/uqth","post"
"Yvette Dayot un monsieur de 65 ans, indemne","L’accident a eu lieu un peu après 18 h 30, dimanche 30 août. La victime s’en est sortie indemne","post"
"Josette Discazeaux c'est bien fait exprès faut arrêter les conneries..","Plus de 100 tablées s’installeront dans les quartiers de Bordeaux vendredi 11 septembre. Une invitation à prolonger l’été et à faire connaissance avec ses voisins autour d’un repas partagé","post"
"Si y a arrêt maladie c'est que le médecin l'a signé , non ?","Santé mentale : ces jeunes actifs qui enchaînent les arrêts maladie pour ne pas « cravacher » comme leurs parents
🔗https://l.sudouest.fr/JMbI","post"
"En fait il avait que 13 ans, les trois amis en scooter ont réussi à passer, lui pas car les barrières s’abaissaient, pourquoi toujours vouloir braver le diable, attendre deux ou trois minutes, que le train soit passé, et il serait encore de ce monde, condoléances aux parents !","Un adolescent de 14 ans en trottinette mortellement fauché par un train, les barrières du passage à niveau « ont correctement fonctionné »","post"
"Les flics vont être de sortie pour gazer tout le monde encore","Plus de 100 tablées s’installeront dans les quartiers de Bordeaux vendredi 11 septembre. Une invitation à prolonger l’été et à faire connaissance avec ses voisins autour d’un repas partagé","post"
"Je soutiens sa démarche","« J’en ai assez de commenter le désastre » : la journaliste Natacha Polony se lance en politique pour « perturber l’entre-soi »","post"
